annee,COUNT (*)
1933,1
1959,1
1967,1
1971,2
1972,2
1974,2
1978,1
1979,2
1980,1
1983,2
1988,1
1990,2
1992,1
1993,2
1994,1
1995,1
1997,3
1998,1
1999,4
2000,3
2002,1
2003,3
2004,1
2005,3
2007,1
2008,3
2009,3
2010,6
2011,10
2012,9
2013,8
2014,10
2015,10
2016,11
2017,6
2018,5
2019,2
2020,2
