annee
2020
1999
2000
2017
2013
2016
2015
2012
2014
2014
2008
2018
2013
1933
2011
2015
1990
2018
2015
2019
1980
2019
1999
2016
2016
2010
2015
2007
1983
2016
2017
2012
2014
2017
2016
2015
2005
2011
2015
2016
1988
2014
2012
2010
2018
2015
2016
2015
2015
2013
2013
2009
1997
2016
1993
2011
2016
2003
2005
2011
2005
2003
2014
2010
1998
2011
2020
1999
2012
1983
2011
1972
1999
2012
1974
1978
2017
2008
2011
2000
2014
1997
2000
2010
2018
2016
1992
1995
2009
2015
2016
1993
1979
1971
1994
2013
2009
1974
2002
2011
2014
2013
2017
2018
1997
2014
2014
2012
1959
2012
2011
2013
1972
2017
2012
2010
2003
2014
1990
2008
2013
2012
1967
1979
1971
2010
2004
2011
