RC,UFI,UNI,LAT,LONG,DMS_LAT,DMS_LONG,UTM,JOG,FC,DSG,PC,CC1,ADM1,ADM2,DIM,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME,FULL_NAME,FULL_NAME_ND,MODIFY_DATE
3,337896,419798,-12.9419444,45.1186111,-125631,450707,NL16,SD38-02,T,HLL,,MF,0,,,,N,,,Mlima,DJIALIMOU MLIMA,Mlima Djialimou,Mlima Djialimou,1997-12-23
3,337895,419797,-12.9541667,45.1075,-125715,450627,NL16,SD38-02,H,STM,,MF,0,,,,N,,,Mroni,DJIALIMOU MRONI,Mroni Djialimou,Mroni Djialimou,1997-12-23
1,337082,418905,-12.8313889,45.12,-124953,450712,NL18,SD38-02,P,PPL,,MF,0,,,,N,,,,DJIVANI,Djivani,Djivani,1997-12-23
3,337172,419019,-12.8694444,45.2188889,-125210,451308,NL27,SD38-02,T,PT,,MF,0,,,,N,,,Rassi,DOMONYOMBE RASSI,Rassi Domonyombé,Rassi Domonyombe,1997-12-23
1,337092,418915,-12.8472222,45.0783333,-125050,450442,NL07,SD38-02,H,RF,,MF,0,,,,N,,,Récif,DOMOUALI RECIF,Récif Domouali,Recif Domouali,1997-12-23
3,335328,416784,-12.6494444,45.1033333,-123858,450612,NM10,SD38-02,T,PT,,MF,0,,,,V,,,,DOUAMOUGNO CAP,Cap Douamougno,Cap Douamougno,1997-12-23
3,335328,416783,-12.6494444,45.1033333,-123858,450612,NM10,SD38-02,T,PT,,MF,0,,,,N,,,Rassi,DOUAMOUNYO RASSI,Rassi Douamounyo,Rassi Douamounyo,1997-12-23
1,337103,418927,-12.8422222,45.1063889,-125032,450623,NL18,SD38-02,P,PPL,,MF,0,,,,N,,,,DOUJANI,Doujani,Doujani,1997-12-23
3,336757,418495,-12.7908333,45.2138889,-124727,451250,NL28,SD38-02,P,PPL,,MF,0,,,,N,,,,DOUJANI,Doujani,Doujani,1997-12-23
3,336761,418499,-12.7916667,45.2136111,-124730,451249,NL28,SD38-02,H,STM,,MF,0,,,,N,,,Mro,DOUJANI MROOUA,Mro oua Doujani,Mro oua Doujani,1997-12-23
3,336816,418565,-12.7680556,45.2861111,-124605,451710,NL38,SD38-02,H,LKC,,MF,0,,,,N,,,Dziani,DZAHA DZIANI,Dziani Dzaha,Dziani Dzaha,1997-12-23
3,336810,418559,-12.7794444,45.2536111,-124646,451513,NL28,SD38-02,P,PPL,,MF,0,,,,N,,,,DZAOUDZI,Dzaoudzi,Dzaoudzi,1997-12-23
3,337163,419010,-12.8925,45.1383333,-125333,450818,NL17,SD38-02,P,PPLX,,MF,0,,,,N,,,,DZAOUDZI,Dzaoudzi,Dzaoudzi,1997-12-23
3,335399,416876,-12.6877778,45.0855556,-124116,450508,NL09,SD38-02,T,MT,,MF,0,,,,N,,,Mlima,DZIANIBOLE MLIMA,Mlima Dziani Bolé,Mlima Dziani Bole,1997-12-23
3,337157,419003,-12.8744444,45.1177778,-125228,450704,NL17,SD38-02,T,BCH,,MF,0,,,,N,,,Mtsanga,DZIENGUIZI MTSANGA,Mtsanga Dzienguizi,Mtsanga Dzienguizi,1997-12-23
3,335848,417426,-12.7172222,45.1127778,-124302,450646,NL19,SD38-02,P,PPL,,MF,0,,,,V,,,,DZOUMOGNE,Dzoumogne,Dzoumogne,1997-12-23
3,335848,417420,-12.7172222,45.1127778,-124302,450646,NL19,SD38-02,P,PPL,,MF,0,,,,N,,,,DZOUMONYE,Dzoumonyé,Dzoumonye,1997-12-23
3,335846,417418,-12.7225,45.1208333,-124321,450715,NL19,SD38-02,R,RDJCT,,MF,0,,,,N,,,Carrefour,DZOUMONYE CARREFOURDE,Carrefour de Dzoumonyé,Carrefour de Dzoumonye,1997-12-23
3,335392,416869,-12.7094444,45.0691667,-124234,450409,NL09,SD38-02,L,RESF,,MF,0,,,,N,,,Réserve forestière,DZOUMONYE RESERVEFORESTIEREDE,Réserve Forestière de Dzoumonyé,Reserve Forestiere de Dzoumonye,1997-12-23
3,335412,416889,-12.7169444,45.0413889,-124301,450229,NL09,SD38-02,T,BCH,,MF,0,,,,N,,,Mtsanga,FANOU MTSANGA,Mtsanga Fanou,Mtsanga Fanou,1997-12-23
1,337142,418980,-12.8597222,45.1916667,-125135,451130,NL27,SD38-02,P,PPL,,MF,0,,,,N,,,,FLORENCE,Florence,Florence,1997-12-23
3,335394,416871,-12.6988889,45.0602778,-124156,450337,NL09,SD38-02,T,BCH,,MF,0,,,,N,,,Mtsanga,FOUMBOUNI MTSANGA,Mtsanga Foumbouni,Mtsanga Foumbouni,1997-12-23
3,337870,419770,-12.9286111,45.1016667,-125543,450606,NL17,SD38-02,T,BCH,,MF,0,,,,N,,,Mtsanga,FOUMBOUNI MTSANGA,Mtsanga Foumbouni,Mtsanga Foumbouni,1997-12-23
3,336811,418560,-12.7838889,45.2588889,-124702,451532,NL28,SD38-02,P,PPL,,MF,0,,,,N,,,,FOUNGOUJOU,Foungoujou,Foungoujou,1997-12-23
3,335352,416815,-12.7069444,45.1205556,-124225,450714,NL19,SD38-02,P,PPL,,MF,0,,,,V,,,,GNAMBO,Gnambo,Gnambo,1997-12-23
