Année de naissance;Code commune;Libellé commune;Sexe;Prénom;Nombre
2018;35238;Rennes;Féminin;Lilianna;1
2018;35238;Rennes;Féminin;Lilie;1
2018;35238;Rennes;Féminin;Milla;2
2018;35238;Rennes;Féminin;Mina;4
2018;35238;Rennes;Féminin;Maëlis;1
2018;35238;Rennes;Féminin;Nour;5
2018;35238;Rennes;Féminin;Océane;8
2018;35238;Rennes;Féminin;Moiriziki;1
2018;35238;Rennes;Féminin;Oriane;1
2018;35238;Rennes;Féminin;Rayna-Fadoum;1
2018;35238;Rennes;Féminin;Sabah;1
2018;35238;Rennes;Féminin;Shannone;1
2018;35238;Rennes;Féminin;Sheyna;1
2018;35238;Rennes;Féminin;Sujud;1
2018;35238;Rennes;Féminin;Tessa;1
2018;35238;Rennes;Féminin;Thiya;1
2018;35238;Rennes;Féminin;Vanille;1
2018;35238;Rennes;Féminin;Vanyella;1
2018;35238;Rennes;Féminin;Wihem;1
2018;35238;Rennes;Féminin;Yali;1
2018;35238;Rennes;Masculin;Muhammet-Ömer;1
2018;35238;Rennes;Masculin;Naïr;1
2018;35238;Rennes;Masculin;Sam;2
2018;35238;Rennes;Masculin;Samuel;8
2018;35238;Rennes;Masculin;Nolane;1
2018;35238;Rennes;Masculin;Rhys;1
2018;35238;Rennes;Masculin;Rodérick;1
2018;35238;Rennes;Masculin;Sylvain;1
2018;35238;Rennes;Masculin;Telo;1
2018;35238;Rennes;Masculin;Yaniss;2
2018;35238;Rennes;Masculin;Ugo;1
2018;35238;Rennes;Masculin;Vianney;1
2018;35238;Rennes;Masculin;Yasser;1
2018;35238;Rennes;Masculin;Zayd;1
2018;35238;Rennes;Féminin;Azylis;5
2018;35238;Rennes;Féminin;Amira;3
2018;35238;Rennes;Féminin;Ashley;2
2018;35238;Rennes;Féminin;Azilys;2
2018;35238;Rennes;Féminin;Bouchra;2
2018;35238;Rennes;Féminin;Dina;6
2018;35238;Rennes;Féminin;Ellie;6
2018;35238;Rennes;Féminin;Aéla;1
2018;35238;Rennes;Féminin;Aeleen;1
