Année de naissance;Code commune;Libellé commune;Sexe;Prénom;Nombre
2019;35238;Rennes;Masculin;Anatole;8
2019;35238;Rennes;Masculin;Amine;6
2019;35238;Rennes;Masculin;Antonin;9
2019;35238;Rennes;Masculin;Alix;5
2019;35238;Rennes;Masculin;Aylan;5
2019;35238;Rennes;Masculin;Aubin;4
2019;35238;Rennes;Masculin;Albin;3
2019;35238;Rennes;Masculin;Charlie;7
2019;35238;Rennes;Masculin;Charly;3
2019;35238;Rennes;Masculin;Connor;4
2019;35238;Rennes;Masculin;César;6
2019;35238;Rennes;Masculin;Abdoullah;2
2019;35238;Rennes;Masculin;Amaël;2
2019;35238;Rennes;Masculin;Ayan;2
2019;35238;Rennes;Masculin;Eden;21
2019;35238;Rennes;Masculin;Daniel;2
2019;35238;Rennes;Masculin;Dylan;2
2019;35238;Rennes;Masculin;Eliott;28
2019;35238;Rennes;Masculin;Elliot;5
2019;35238;Rennes;Masculin;Elowan;2
2019;35238;Rennes;Masculin;Eyden;2
2019;35238;Rennes;Masculin;Félix;7
2019;35238;Rennes;Masculin;Gabin;29
2019;35238;Rennes;Masculin;Gabriel;48
2019;35238;Rennes;Masculin;Gaspard;29
2019;35238;Rennes;Masculin;Hamza;4
2019;35238;Rennes;Masculin;Aayron;1
2019;35238;Rennes;Masculin;Abdel;1
2019;35238;Rennes;Masculin;Adryann;1
2019;35238;Rennes;Masculin;Aédan;1
2019;35238;Rennes;Masculin;Ahmad-Yassine;1
2019;35238;Rennes;Masculin;Hippolyte;2
2019;35238;Rennes;Masculin;Aiden;1
2019;35238;Rennes;Masculin;Albéric;1
2019;35238;Rennes;Masculin;Aldwynn;1
2019;35238;Rennes;Masculin;Alessandro;1
2019;35238;Rennes;Masculin;Ibrahima;2
2019;35238;Rennes;Masculin;Alessio;1
2019;35238;Rennes;Masculin;Aleycio;1
2019;35238;Rennes;Masculin;Almir;1
2019;35238;Rennes;Masculin;Amador;1
2019;35238;Rennes;Masculin;Arman;1
2019;35238;Rennes;Masculin;Ismaël;9
2019;35238;Rennes;Masculin;Asaf;1
2019;35238;Rennes;Masculin;Ayden-Nayëd;1
2019;35238;Rennes;Masculin;Ayliaz;1
2019;35238;Rennes;Masculin;Azur;1
2019;35238;Rennes;Masculin;James;5
2019;35238;Rennes;Masculin;Barnabé;1
2019;35238;Rennes;Masculin;Biel;1
2019;35238;Rennes;Masculin;Bouchran;1
2019;35238;Rennes;Masculin;Breyson;1
2019;35238;Rennes;Masculin;Joachim;4
2019;35238;Rennes;Masculin;Calyston;1
2019;35238;Rennes;Masculin;Celloba;1
2019;35238;Rennes;Masculin;Celyann;1
2019;35238;Rennes;Masculin;Joseph;6
2019;35238;Rennes;Masculin;Joshua;6
2019;35238;Rennes;Masculin;Claude;1
2019;35238;Rennes;Masculin;Conor;1
2019;35238;Rennes;Masculin;Julien;2
2019;35238;Rennes;Masculin;Danil;1
2019;35238;Rennes;Masculin;Daobi;1
2019;35238;Rennes;Masculin;Dardar;1
2019;35238;Rennes;Masculin;Darell;1
2019;35238;Rennes;Masculin;Dario;1
2019;35238;Rennes;Masculin;Karim;2
2019;35238;Rennes;Masculin;Kayden;3
2019;35238;Rennes;Masculin;Dewran;1
2019;35238;Rennes;Masculin;Kenzo;4
