id;name;latitude;longitude;country;population
122;Falmouth;17.02741;-61.78136;AG;619
123;Codrington;17.63333;-61.83333;AG;1325
124;Bolands;17.06565;-61.87466;AG;1657
125;West End Village;18.17191;-63.14941;AI;0
126;The Valley;18.21704;-63.05783;AI;2035
127;The Quarter;18.20799;-63.04178;AI;0
128;Farrington;18.215;-63.02238;AI;0
129;Stoney Ground;18.22026;-63.04607;AI;0
130;South Hill Village;18.19201;-63.08779;AI;0
131;Sandy Ground Village;18.20118;-63.08998;AI;274
132;North Side;18.22919;-63.04401;AI;0
133;North Hill Village;18.20542;-63.07847;AI;0
134;Island Harbour;18.25601;-63.0102;AI;0
135;George Hill;18.19939;-63.0665;AI;0
136;East End Village;18.23333;-63.0;AI;0
137;Blowing Point Village;18.17648;-63.09375;AI;942
138;Sandy Hill;18.22104;-63.01329;AI;0
139;Sarandë;39.87534;20.00477;AL;15147
140;Tepelenë;40.29583;20.01917;AL;11955
141;Poliçan;40.61222;20.09806;AL;10663
142;Pogradec;40.9025;20.6525;AL;61530
143;Peshkopi;41.685;20.42889;AL;14848
144;Përmet;40.23361;20.35167;AL;10686
145;Kukës;42.07694;20.42194;AL;17832
146;Korçë;40.61861;20.78083;AL;58259
147;Gramsh;40.86972;20.18444;AL;11556
148;Gjirokastër;40.07583;20.13889;AL;23437
149;Ersekë;40.33778;20.67889;AL;7890
150;Elbasan;41.1125;20.08222;AL;100903
151;Çorovodë;40.50417;20.22722;AL;14046
152;Burrel;41.61028;20.00889;AL;15405
153;Bulqizë;41.49167;20.22194;AL;11212
154;Bilisht;40.6275;20.99;AL;7114
155;Librazhd-Qendër;41.19694;20.33556;AL;12691
156;Vlorë;40.4686;19.48318;AL;89546
157;Tirana;41.3275;19.81889;AL;374801
158;Shkodër;42.06828;19.51258;AL;88245
159;Shijak;41.34556;19.56722;AL;14138
160;Selenicë;40.53056;19.63583;AL;6912
161;Rrogozhinë;41.07639;19.66528;AL;5620
162;Rrëshen;41.7675;19.87556;AL;10064
163;Roskovec;40.7375;19.70222;AL;6657
164;Pukë;42.04444;19.89972;AL;6495
165;Peqin;41.04611;19.75111;AL;7513
166;Patos Fshat;40.64278;19.65083;AL;22679
167;Patos;40.68333;19.61944;AL;60000
168;Mamurras;41.5775;19.69222;AL;8282
169;Lushnjë;40.94194;19.705;AL;41469
170;Lezhë;41.78361;19.64361;AL;18695
171;Laç;41.63556;19.71306;AL;24825
172;Kuçovë;40.80028;19.91667;AL;18166
173;Krujë;41.50917;19.79278;AL;21286
174;Kavajë;41.18556;19.55694;AL;29354
175;Kamëz;41.38167;19.76028;AL;11026
176;Fushë-Krujë;41.47833;19.71778;AL;10458
177;Fier-Çifçi;40.71667;19.56667;AL;60995
178;Fier;40.72389;19.55611;AL;56297
179;Durrës;41.32355;19.45469;AL;122034
180;Cërrik;41.03167;19.97583;AL;14269
181;Berat;40.70583;19.95222;AL;46866
182;Ballsh;40.59889;19.73472;AL;10361
183;Yeghegnadzor;39.76389;45.33239;AM;8200
184;Vedi;39.91388;44.7251;AM;12192
185;Vayk’;39.6889;45.46668;AM;5419
186;Kapan;39.20755;46.40576;AM;33160
187;Goris;39.51111;46.34168;AM;20379
188;Hats’avan;39.46405;45.97047;AM;15208
189;Artashat;39.96144;44.54447;AM;20562
190;Ararat;39.83069;44.70569;AM;28832
191;Yerevan;40.18111;44.51361;AM;1093485
192;Vagharshapat;40.16557;44.29462;AM;46540
193;Yeghvard;40.32507;44.48608;AM;10705
194;Vardenis;40.18329;45.73053;AM;11382
195;Vardenik;40.13348;45.44311;AM;7709
196;Tashir;41.12072;44.28462;AM;7318
197;Step’anavan;41.00995;44.38531;AM;23782
198;Spitak;40.83221;44.26731;AM;15059
199;Sevan;40.5473;44.94171;AM;17083
200;Sarukhan;40.29169;45.13068;AM;6173
201;Sardarapat;40.13206;44.00969;AM;5348
202;Noyemberyan;41.17244;44.99917;AM;5119
203;Noratus;40.37793;45.18048;AM;5426
204;Nerk’in Getashen;40.14172;45.27087;AM;7010
205;Metsamor;40.07233;44.29169;AM;8789
206;Masis;40.06542;44.41618;AM;18911
207;Martuni;40.13892;45.30548;AM;11037
208;Vanadzor;40.80456;44.4939;AM;101098
209;Karanlukh;40.10444;45.28972;AM;5104
210;Gavarr;40.35398;45.12386;AM;21680
211;Ijevan;40.87877;45.14851;AM;14737
212;Hrazdan;40.49748;44.7662;AM;40795
213;Armavir;40.15446;44.03815;AM;25963
214;Gyumri;40.7942;43.84528;AM;148381
215;Garrni;40.11931;44.73442;AM;6827
216;Dilijan;40.7417;44.8501;AM;13478
217;Chambarak;40.59655;45.35498;AM;6153
218;Byureghavan;40.31417;44.59333;AM;6972
219;Berd;40.88135;45.38901;AM;8374
220;Ashtarak;40.2991;44.36204;AM;18779
221;Aparan;40.59323;44.3589;AM;5670
222;Alaverdi;41.09766;44.67316;AM;13184
223;Akhuryan;40.78003;43.90027;AM;7672
224;Abovyan;40.27368;44.63348;AM;35673
225;Saurimo;-9.66078;20.39155;AO;40498
226;Lucapa;-8.41915;20.74466;AO;20115
227;Luau;-10.70727;22.22466;AO;18465
228;Léua;-11.65;20.45;AO;5168
229;Uíge;-7.60874;15.06131;AO;60008
230;Soio;-6.1349;12.36894;AO;67491
231;N'zeto;-7.23116;12.8666;AO;18352
232;N’dalatando;-9.29782;14.91162;AO;383100
233;Mbanza Congo;-6.26703;14.2401;AO;24220
234;Malanje;-9.54015;16.34096;AO;87046
235;Luanda;-8.83682;13.23432;AO;2776168
236;Caxito;-8.57848;13.66425;AO;28224
237;Camabatela;-8.18812;15.37495;AO;12837
238;Cabinda;-5.55;12.2;AO;66020
239;Uacu Cungo;-11.35669;15.11719;AO;10970
240;Sumbe;-11.20605;13.84371;AO;33277
241;Quibala;-10.73366;14.97995;AO;8915
242;Ondjiva;-17.06667;15.73333;AO;10169
243;Namibe;-15.19611;12.15222;AO;80149
244;Menongue;-14.6585;17.69099;AO;32203
245;Luena;-11.78333;19.91667;AO;21115
246;Lubango;-14.91717;13.4925;AO;102541
247;Longonjo;-12.90667;15.25333;AO;24346
248;Lobito;-12.3644;13.53601;AO;207932
